Title,Year,Rated,Genre,Actors,Plot,Language,Country,imdbID,BoxOffice,Production
Hamburger Hill,1987,R,"Action, Drama, Thriller, War","Anthony Barrile, Michael Boatman, Don Cheadle, Michael Dolan",A very realistic interpretation of one of the bloodiest battles of the Vietnam War.,"English, French",USA,tt0093137,"$13,839,404",RKO Pictures
9,2009,PG-13,"Animation, Action, Adventure, Sci-Fi","Christopher Plummer, Martin Landau, John C. Reilly, Crispin Glover",A rag doll that awakens in a postapocalyptic future holds the key to humanity's salvation.,English,"USA, Luxembourg, Canada",tt0472033,"$31,749,894","Jim Lemley, Timur Bekmambetov, Tim Burton Animation Co."
Undefeated,2011,PG-13,"Documentary, Sport","Montrail 'Money' Brown, O.C. Brown, Bill Courtney, Chavis Daniels",Chronicles three underprivileged students from inner-city Memphis and their volunteer coach who tries to help them beat the odds on and off the field.,English,USA,tt1860355,"$562,218",N/A
A Shaun the Sheep Movie: Farmageddon,2019,G,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi","Justin Fletcher, John Sparkes, Amalia Vitale, Kate Harbour","When an alien with amazing powers crash-lands near Mossy Bottom Farm, Shaun the Sheep goes on a mission to shepherd the intergalactic visitor home before a sinister organization can capture her.",English,"UK, France, Belgium, USA, China, Australia, Japan, Finland, Germany, Ireland",tt6193408,N/A,"StudioCanal, Aardman Animations"
April and the Extraordinary World,2015,PG,"Animation, Adventure, Comedy, Drama, Family, Mystery, Sci-Fi, Thriller","Marion Cotillard, Marc-André Grondin, Philippe Katerine, Jean Rochefort","It's 1941 but France is trapped in the nineteenth century, governed by steam and Napoleon V, where scientists vanish mysteriously. Avril (Marion Cotillard), a teenage girl, goes in search of her missing scientist parents.",French,"France, Canada, Belgium",tt3422078,"$295,488",N/A
The Highwaymen,2019,R,"Biography, Crime, Drama, Mystery, Thriller","Kevin Costner, Woody Harrelson, Kathy Bates, John Carroll Lynch",The untold true story of the legendary detectives who brought down Bonnie and Clyde.,"English, Spanish",USA,tt1860242,N/A,"Media Rights Capital, Universal Pictures, Netflix, Casey Silver Productions"
Legend,2015,R,"Biography, Crime, Drama, Thriller","Paul Anderson, Tom Hardy, Christopher Eccleston, Joshua Hill",Identical twin gangsters Ronald and Reginald Kray terrorize London during the 1960s.,English,"UK, France, USA",tt3569230,"$1,872,994",Working Title Films
Boy,2010,Not Rated,"Comedy, Drama","James Rolleston, Te Aho Eketone-Whitu, Taika Waititi, Moerangi Tihore","Set on the east coast of New Zealand in 1984, Boy, an 11-year-old child and devout Michael Jackson fan, gets a chance to know his absentee criminal father, who has returned to find a bag of money he buried years ago.","English, Maori",New Zealand,tt1560139,"$256,211",N/A
Terminator 3: Rise of the Machines,2003,R,"Action, Sci-Fi","Arnold Schwarzenegger, Nick Stahl, Claire Danes, Kristanna Loken",A machine from a post-apocalyptic future travels back in time to protect a man and a woman from an advanced robotic assassin to ensure they both survive a nuclear attack.,English,"USA, Germany, UK",tt0181852,"$150,371,112","InterMedia Film Equities Ltd., IMF, C-2 Pictures"
Guru,2007,Not Rated,Drama,"Mithun Chakraborty, Abhishek Bachchan, Aishwarya Rai Bachchan, Madhavan","A villager, Gurukant Desai, arrives in Bombay 1958, and rises from its streets to become the GURU, the biggest tycoon in Indian history.",Hindi,India,tt0499375,"$2,096,000",Madras Talkies
